epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.3823440670967102,0.4883333444595337,1.3609793186187744,1.2188615798950195
2,0.5025610327720642,0.5400000214576721,1.1417593955993652,1.0862473249435425
3,0.5652304887771606,0.5983333587646484,1.0252009630203247,1.0301556587219238
4,0.6050015091896057,0.621666669845581,0.9443764686584473,0.9801872968673706
5,0.6343275904655457,0.6066666841506958,0.8893221616744995,0.9507775902748108
6,0.6550165414810181,0.6083333492279053,0.8383759260177612,0.939780056476593
7,0.6801245212554932,0.6499999761581421,0.7900317311286926,0.899861752986908
8,0.6870543360710144,0.6416666507720947,0.76285320520401,0.8800114989280701
9,0.7054333686828613,0.6100000143051147,0.7265444397926331,0.9004127979278564
10,0.7176860570907593,0.6299999952316284,0.6988521218299866,0.8907029032707214
11,0.724716305732727,0.6466666460037231,0.6803902983665466,0.8760704398155212
